user,date,text,favorite_count
MediciSusan,Fri Feb 22 14:49:00 +0000 2019,#Trump #TradeWar Triggering $1.9 Billion Plunge In #Farm Exports: USDA https://t.co/M8MaztNWLO,0
LoriIoannou1,Fri Feb 22 14:42:54 +0000 2019,US-China trade dispute puts a chill on American natural gas export boom https://t.co/uJdAI5zX3J .@CNBC .@CNBCi #tradewar #China #NaturalGas,0
Acliffe,Fri Feb 22 14:42:03 +0000 2019,"American farm exports are expected to plunge $1.9 billion in fiscal 2019, compared to the previous year, largely du… https://t.co/Ky7yLobKG5",1
SquaredDirect,Fri Feb 22 14:40:28 +0000 2019,Wall Street rose Friday as investors turned their focus to U.S. President Donald Trump’s #trade meeting with Chines… https://t.co/EjW5QRPW7s,0
HAGToday,Fri Feb 22 14:37:52 +0000 2019,"All of the major indexes are teetering on overbought, as we near a decently tested resistance - if the #tradewar ge… https://t.co/5ysl4hFu91",0
destiny4396,Fri Feb 22 14:35:03 +0000 2019,#China’s “assertiveness” has become a buzzword not only in media coverage but also in a growing body of scholarly w… https://t.co/2eEx1Arsw1,0
MooreToTheStory,Fri Feb 22 14:33:03 +0000 2019,"RT @Breaking24Seven: EU to hit Caterpillar, Xerox, Samsonite with tariffs if Trump targets European cars - report

#tradewar #tariffs 
http…",0
Breaking24Seven,Fri Feb 22 14:31:16 +0000 2019,"EU to hit Caterpillar, Xerox, Samsonite with tariffs if Trump targets European cars - report

#tradewar #tariffs 
https://t.co/0FsxzYI9Sf",0
businessline,Fri Feb 22 14:30:07 +0000 2019,#TradeWar | When to start trade negotiations with Trump? EU at loggerheads https://t.co/VqzTCMe830 https://t.co/tJg6f0js8l,1
reutersEricO,Fri Feb 22 14:29:52 +0000 2019,"""If we get a deal, there wouldn't be much obstacle for copper to return to the low $7,000s,"" said GianclaudioTorliz… https://t.co/iT1eBIQt7X",2
glowinkercatch,Fri Feb 22 14:25:05 +0000 2019,RT @mimangour: #Vietnam is emerging as the manufacturing and export powerhouse globally. With increasing wages in #China and its #tradewar…,0
ElizabethHarm20,Fri Feb 22 14:19:52 +0000 2019,"7.7 billion

Looks to me like you spent your wall money on bad trade negotiations .... 🤦

#tradewar… https://t.co/n7thhPfVH4",0
Danske_Research,Fri Feb 22 14:16:19 +0000 2019,"Get ready for next week by reading our Weekly Focus!🧐🤓

This week, we discuss ongoing 🇺🇸🇨🇳US-China trade talks, upc… https://t.co/3dtw1lb9wO",0
EquidiousSignal,Fri Feb 22 14:13:51 +0000 2019,US futures pointed to a higher opening as US and China continue to work towards a trade deal before tariffs on Chin… https://t.co/SA2HvVWZMt,0
rthk_enews,Fri Feb 22 14:12:46 +0000 2019,#China's top #trade negotiator gets #Trump meeting https://t.co/b95o2tuYiW #tradewar,0
ClaudiaWolfgang,Fri Feb 22 14:12:45 +0000 2019,"RT @cowboytexas: Trump said last year that farmers are ""patriots"" who would ""understand."" https://t.co/P2q64FjBZO via @HuffPostPol  #TradeW…",0
Kay_wise,Fri Feb 22 14:12:24 +0000 2019,RT @janet_chung: What are Nebraska farmers doing with soybeans? Are farmers happy with the representatives that they re-elected in November…,0
cowboytexas,Fri Feb 22 14:08:18 +0000 2019,"Trump said last year that farmers are ""patriots"" who would ""understand."" https://t.co/P2q64FjBZO via @HuffPostPol… https://t.co/HGpz64Goc2",5
janet_chung,Fri Feb 22 14:08:12 +0000 2019,What are Nebraska farmers doing with soybeans? Are farmers happy with the representatives that they re-elected in N… https://t.co/KoMTTHZZig,0
janet_chung,Fri Feb 22 14:06:43 +0000 2019,What are Nebraska farmers doing with soybeans? Are farmers happy with the representatives that they re-elected in N… https://t.co/Vxt5LHxmTs,0
SuperiorMar,Fri Feb 22 14:02:06 +0000 2019,"RT @jennydr17041199: The #shippingindustry feels the impact of this #tradewar,especially in the #drybulk market.While there were high #cont…",0
bobbyjoeybilly,Fri Feb 22 13:57:31 +0000 2019,Good summary on all the talking points to end the #TradeWar with #China and form a #ChinaTradeDeal. #MAGA… https://t.co/d4q7PRbi0w,0
RER_AT,Fri Feb 22 13:56:06 +0000 2019,"#USA #Europe #tradewar
Now the EU-US trade war starts with first threads from both sides.... https://t.co/KsJE48kKWs",0
